acc,organism,clade,arm
AB540040.1,"Gloiopeltis sp. Oura/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, compl",Red algae,B1_sparse_clade
AB540039.1,"Gloiopeltis sp. Katsuura/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, c",Red algae,B1_sparse_clade
AB540038.1,"Gloiopeltis sp. Choshi/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, com",Red algae,B1_sparse_clade
AB540037.1,"Gloiopeltis sp. Oarai/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Red algae,B1_sparse_clade
AB540036.1,"Gloiopeltis sp. Kawajiri/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, c",Red algae,B1_sparse_clade
AB540035.1,"Gloiopeltis sp. Izura/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Red algae,B1_sparse_clade
AB540034.1,"Gloiopeltis sp. Jyodogahama/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit",Red algae,B1_sparse_clade
AB540033.1,"Gloiopeltis sp. Masaki/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, com",Red algae,B1_sparse_clade
AB540032.1,"Gloiopeltis sp. Tanesashi/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, ",Red algae,B1_sparse_clade
AB540031.1,"Gloiopeltis sp. Kita-kanegasawa/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Red algae,B1_sparse_clade
AB540030.1,"Gloiopeltis sp. Ohata/2003 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, comp",Red algae,B1_sparse_clade
AB159659.1,"Nemalionopsis tortuosa chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete",Red algae,B1_sparse_clade
AB159651.1,"Thorea gaudichaudii chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cd",Red algae,B1_sparse_clade
AB159650.1,"Thorea gaudichaudii chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cd",Red algae,B1_sparse_clade
AB159649.1,"Thorea gaudichaudii chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, complete cd",Red algae,B1_sparse_clade
OR359632.1,"Amoenothamnion planktonicum ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chl",Red algae,B1_sparse_clade
OQ863312.1,"Laurencia sp. A25 isolate B1 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds; chl",Red algae,B1_sparse_clade
OQ863300.1,"Laurencia catarinensis isolate PD4141 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial",Red algae,B1_sparse_clade
LC493039.1,"Colpomenia borea Ru_1 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial c",Brown algae,B1_sparse_clade
LC493038.1,"Colpomenia borea Jp_1 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial c",Brown algae,B1_sparse_clade
LC744577.1,"Timmiella anomala TNS: Y. Inoue 8408 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large sub",Mosses,B1_sparse_clade
LC744573.1,"Orthotrichum consobrinum TNS: Y. Inoue 8170 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase la",Mosses,B1_sparse_clade
ON568338.1,"Scytosiphon sp. Atlantic complex sp. 1 voucher BBB:MEC224 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit ",Brown algae,B1_sparse_clade
LC723702.1,"Schistochila sciurea chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete c",Liverworts,B1_sparse_clade
LC723699.1,"Schistochila sciurea chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete c",Liverworts,B1_sparse_clade
LC702103.1,"Calohypnum plumiforme TNS:MH:247276 chloroplast rbcL gene for ribulose-1,5-bisphosphate carboxylase/oxygenase large subu",Mosses,B1_sparse_clade
AB476577.1,"Porella ulophylla chloroplast rbcL gene for ribulose 1,5-bisphosphate carboxylase/oxygenase large subunit, complete cds,",Liverworts,B1_sparse_clade
MK875448.1,"Gloiopeltis sp. JP5 voucher Hiroshi Kawai:KU-d16001 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL)",Red algae,B1_sparse_clade
MK875447.1,"Gloiopeltis sp. JP5 voucher Hiroshi Kawai:KU-d14317 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL)",Red algae,B1_sparse_clade
MK875446.1,"Gloiopeltis sp. JP4 voucher Hiroshi Kawai:KU-d20089 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL)",Red algae,B1_sparse_clade
MK875445.1,"Gloiopeltis sp. JP4 voucher Hiroshi Kawai:KU-d17987 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL)",Red algae,B1_sparse_clade
MK875444.1,"Gloiopeltis sp. JP3 voucher Hiroshi Kawai:KU-d20672 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL)",Red algae,B1_sparse_clade
MK875443.1,"Gloiopeltis sp. JP3 voucher Hiroshi Kawai:KU-d18945 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL)",Red algae,B1_sparse_clade
MK875442.1,"Gloiopeltis sp. JP2 voucher Hiroshi Kawai:KU-d18266 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL)",Red algae,B1_sparse_clade
MK875441.1,"Gloiopeltis sp. JP2 voucher Hiroshi Kawai:KU-d18220 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL)",Red algae,B1_sparse_clade
MK875440.1,"Gloiopeltis sp. JP1 voucher Hiroshi Kawai:KU-d14096 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL)",Red algae,B1_sparse_clade
MK875439.1,"Gloiopeltis sp. JP1 voucher Hiroshi Kawai:KU-d5018 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) ",Red algae,B1_sparse_clade
MK875405.1,"Gloiopeltis complanata voucher Hiroshi Kawai:KU-d18205 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rb",Red algae,B1_sparse_clade
MK875404.1,"Gloiopeltis complanata voucher Hiroshi Kawai:KU-d18256 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rb",Red algae,B1_sparse_clade
MK875403.1,"Gloiopeltis complanata voucher Hiroshi Kawai:KU-d14549 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rb",Red algae,B1_sparse_clade
MN636854.1,"Laurencia intricata voucher ADN-5 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, partial cds",Red algae,B1_sparse_clade
EF547821.1,"Aneura sp. Wickett 473 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloropl",Liverworts,B1_sparse_clade
EF547820.1,"Aneura sp. Wickett 468 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloropl",Liverworts,B1_sparse_clade
EF547819.1,"Aneura sp. Shaw 670 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Liverworts,B1_sparse_clade
EF547818.1,"Aneura sp. Shaw 702 ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene, complete cds; chloroplast",Liverworts,B1_sparse_clade
